Drug name	Drug number	Line number	Advice Text	AdviceTag1	AdviceTag2	AdviceTag3	AdviceTag4	Medication	Food	Activity	Exercise	Disease
Ambien	6	42	"You may have trouble sleeping the first few nights after you stop taking this medication. This is called rebound insomnia and is normal. It will usually go away after 1-2 nights. If this effect continues, contact your doctor."	Disease or symptom related	Temporal							insomnia
Ambien	6	54	"Rarely, after taking this drug, people have gotten out of bed and driven vehicles while not fully awake (""sleep-driving""). People have also sleepwalked, prepared/eaten food, made phone calls, or had sex while not fully awake. Often, these people do not remember these events. This problem can be dangerous to you or to others. If you find out that you have done any of these activities after taking this medication, tell your doctor right away. Your risk is increased if you use alcohol or other medications that can make you drowsy while taking zolpidem."	Food or beverage related					alcohol			
Ambien	6	75	"Do not drive, use machinery, or do any activities that require clear thinking after you take this medication and the next day. You may feel alert, but this medication may continue to affect your thinking, making such activities unsafe."	Activity or lifestyle related						driving; using machinery; 		
Ambien	6	79	Do not drink alcoholic beverages.	Food or beverage related					alcohol			
Ambien	6	84	"During pregnancy, this medication should be used only when clearly needed. Infants born to mothers who have taken sedative-hypnotics near the time of delivery may have undesirable effects such as breathing problems or withdrawal symptoms."	Pregnancy related	Disease or symptom related							
Ambien	6	87	A small amount of this medication passes into breast milk. Consult your doctor before breast-feeding.	Pregnancy related								
Ambien	6	93	A product that may interact with this drug is: sodium oxybate.	Other drugs related				sodium oxybate				
Ambien	6	94	"Other medications can affect the removal of zolpidem from your body, which may affect how zolpidem works."	Other drugs related								
Ambien	6	96	"The risk of serious side effects (such as slow/shallow breathing, severe drowsiness/dizziness, decreased alertness) may be increased if this medication is used with other products that may also affect breathing or cause drowsiness. Therefore, tell your doctor or pharmacist if you are taking other products such as alcohol, other medicine for sleep or anxiety (such as alprazolam, diazepam, lorazepam), muscle relaxants, and narcotic pain relievers (such as codeine)."	Other drugs related	Disease or symptom related			medicine for sleep or anxiety; alprazolam diazepam; lorazepam; muscle relaxants; narcotic pain relievers; codeine;	alcohol			
Aspirin	10	12	Consult your doctor before treating a child younger than 12 years.	Drug administration related								
Aspirin	10	13	Your doctor may direct you to take a low dose of aspirin to prevent blood clots. This effect reduces the risk of stroke and heart attack.	Disease or symptom related								
Aspirin	10	19	Take this medication by mouth.	Drug administration related								
Aspirin	10	20	Drink a full glass of water (8 ounces/240 milliliters) with it unless your doctor tells you otherwise.	Food or beverage related					water			
Aspirin	10	21	Do not lie down for at least 10 minutes after you have taken this drug.	Activity or lifestyle related	Drug administration related	Temporal				lying down		
Aspirin	10	22	"If stomach upset occurs while you are taking this medication, you may take it with food or milk."	Food or beverage related	Drug administration related				milk			
Aspirin	10	26	"Do not crush or chew extended-release tablets or capsules. Doing so can release all of the drug at once, increasing the risk of side effects."	Drug administration related								
Aspirin	10	28	"Also, do not split extended-release tablets unless they have a score line and your doctor or pharmacist tells you to do so. Swallow the whole or split tablet without crushing or chewing."	Drug administration related								
Aspirin	10	41	You should not take this medication for self-treatment of pain for longer than 10 days.	Drug administration related	Temporal							
Aspirin	10	42	"You should not use this drug to self-treat a fever that lasts longer than 3 days. In these cases, consult a doctor because you may have a more serious condition."	Drug administration related	Temporal							
Aspirin	10	64	"PRECAUTIONS:  Before taking aspirin, tell your doctor or pharmacist if you are allergic to it; or to other salicylates (such as choline salicylate); or to other pain relievers or fever reducers (NSAIDs such as ibuprofen, naproxen); or if you have any other allergies."	Other drugs related				salicylates; choline salicylate; pain relievers;fever reducers; NSAIDs; ibuprofen; naproxen;				
Aspirin	10	68	"Before using this medicine, consult your doctor or pharmacist if you have: bleeding/blood-clotting disorders (such as hemophilia, vitamin K deficiency, low platelet count)."	Disease or symptom related								bleeding/blood-clotting disorders; hemophilia; vitamin K deficiency; low platelet count;
Aspirin	10	69	"If you have any of the following health problems, consult your doctor or pharmacist before using this medication: kidney disease, liver disease, diabetes, stomach problems (such as ulcers, heartburn, stomach pain), aspirin-sensitive asthma (a history of worsening breathing with runny/stuffy nose after taking aspirin or other NSAIDs), growths in the nose (nasal polyps), gout, certain enzyme deficiencies (pyruvate kinase or G6PD deficiency)."	Disease or symptom related								kidney disease; liver disease; diabetes; stomach problems;  ulcers; heartburn; stomach pain; aspirin-sensitive asthma;nasal polyps; gout; enzyme deficiencies; pyruvate kinase; G6PD deficiency;
Aspirin	10	70	"This medicine may cause stomach bleeding. Daily use of alcohol and tobacco, especially when combined with this product, may increase your risk for this side effect. Limit alcoholic beverages, and stop smoking."	Food or beverage related	Activity or lifestyle related	Disease or symptom related			alcohol	smoking		
Aspirin	10	75	"Children and teenagers less than 18 years old should not take aspirin if they have chickenpox, flu, or any undiagnosed illness or if they have recently received a vaccine. In these cases, taking aspirin increases the risk of Reye's syndrome, a rare but serious illness."	Disease or symptom related								chickenpox; flu
Aspirin	10	79	"Older adults may be more sensitive to the side effects of this drug, especially stomach/intestinal bleeding and ulcers."	Disease or symptom related								stomach/intestinal bleeding; ulcers
Aspirin	10	80	Aspirin is not recommended for use during pregnancy.	Pregnancy related								
Aspirin	10	81	Consult your doctor before using this medication if you are or think you may be pregnant.	Pregnancy related								
Aspirin	10	82	Tell your doctor right away if you become pregnant while taking this medication.	Pregnancy related								
Aspirin	10	83	Do not use this medication during the last 3 months of pregnancy because of possible harm to the unborn baby or problems during delivery.	Pregnancy related								
Aspirin	10	84	Aspirin passes into breast milk and may harm the nursing infant.	Pregnancy related								
Aspirin	10	85	Breast-feeding while using this drug is not recommended.	Pregnancy related								
Aspirin	10	86	Consult your doctor before breast-feeding.	Pregnancy related								
Aspirin	10	91	"Some products that may interact with this drug include: mifepristone, acetazolamide, ""blood thinners"" (such as warfarin, heparin), corticosteroids (such as prednisone), methotrexate, valproic acid, herbal medications such as ginkgo biloba."	Other drugs related				mifepristone; acetazolamide; blood thinners;  warfarin; heparin; corticosteroids; prednisone; methotrexate; valproic acid; herbal medications; ginkgo biloba;				
Aspirin	10	92	"Before using this product, consult your doctor if you have recently received certain live vaccines (such as varicella vaccine, live flu vaccine)."	Other drugs related				varicella vaccine; live flu vaccine				
Aspirin	10	93	"Check all prescription and nonprescription medicine labels carefully since many medications contain pain relievers/fever reducers known as NSAIDs (non-steroidal anti-inflammatory drugs such as ibuprofen, ketorolac, naproxen)."	Other drugs related				NSAIDs; ibuprofen; ketorolac; naproxen;				
Aspirin	10	97	"If you are taking low-dose aspirin for prevention of heart attack/stroke, consult your doctor or pharmacist for more details and to discuss other possible treatments (such as acetaminophen) for your pain/fever."	Disease or symptom related								
Aspirin	10	98	"This medication may interfere with certain laboratory tests (including certain urine sugar tests), possibly causing false test results. Make sure laboratory personnel and all your doctors know you are taking this medication."									
Ativan	11	16	"You may mix the measured dose with a small amount of juice, water, soda, applesauce or pudding. Stir in one dose and mix gently for a few seconds. After preparing one dose, drink or eat the entire mixture right away. Do not prepare a supply for future use."	Food or beverage related	Drug administration related				 juice; water; soda; applesauce; pudding			
Ativan	11	23	"To help you remember, use it at the same time(s) each day."	Drug administration related	Temporal							
Ativan	11	57	"Before using this medication, tell your doctor or pharmacist your medical history, especially of: kidney disease, liver disease, glaucoma, lung/breathing problems (such as sleep apnea), mental/mood disorders (such as depression, psychosis), drug/alcohol abuse."	Disease or symptom related								kidney disease;liver disease; glaucoma; lung/breathing problems ; sleep apnea; mental/mood disorders ; depression; psychosis; drug/alcohol abuse
Ativan	11	60	Avoid alcoholic beverages.	Food or beverage related					alcohol			
Ativan	11	72	This drug passes into breast milk. Consult your doctor before breast-feeding.	Pregnancy related								
Ativan	11	78	"Some products that may interact with this drug include: clozapine, kava, sodium oxybate (also known as gamma hydroxybutyrate or GHB)."	Other drugs related				clozapine; kava; sodium oxybate ;gamma hydroxybutyrate;GHB;				
Bactrim	15	19	"Drink plenty of fluids while taking this medication to lower the unlikely risk of kidney stones forming, unless your doctor advises you otherwise."	Food or beverage related	Drug administration related				water; fluids			
Bactrim	15	33	This medication may rarely cause a severe intestinal condition (Clostridium difficile-associated diarrhea) due to a type of resistant bacteria. This condition may occur during treatment or weeks to months after treatment has stopped.	Disease or symptom related								Clostridium difficile-associated diarrhea
Bactrim	15	35	"Tell your doctor right away if you develop: persistent diarrhea, abdominal or stomach pain/cramping, blood/mucus in your stool."	Disease or symptom related								persistent diarrhea; abdominal or stomach pain/cramping; blood/mucus in stool
Bactrim	15	36	Do not use anti-diarrhea products or narcotic pain medications if you have any of these symptoms because these products may make them worse.	Other drugs related								
Bactrim	15	51	"Before using this medication, tell your doctor or pharmacist your medical history, especially of: kidney disease, liver disease, certain blood disorders (such as porphyria, anemia due to folate vitamin deficiency), history of blood disorders caused by trimethoprim or sulfa medications, vitamin deficiency (folate or folic acid), severe allergies, asthma, decreased bone marrow function (bone marrow suppression), a certain metabolic disorder (G6PD deficiency), underactive thyroid, mineral imbalances (such as high level of potassium or low level of sodium in the blood)."	Disease or symptom related				anti-diarrhea products; narcotic pain medications				
Bactrim	15	53	"This medication may make you more sensitive to the sun. Avoid prolonged sun exposure, tanning booths or sunlamps. Use a sunscreen and wear protective clothing when outdoors."	Activity or lifestyle related						tanning booths; sunlamps; staying outdoor for long		
Bactrim	15	56	"If you have diabetes, this product may affect your blood sugar levels."	Disease or symptom related								diabetes
Bactrim	15	62	This medication is not recommended for use during pregnancy especially near the expected delivery date because of possible harm to the unborn baby.	Pregnancy related								
Bactrim	15	64	This drug passes into breast milk.	Pregnancy related								
Bactrim	15	65	"While there have been no reports of harm to healthy infants, this drug may have undesirable effects on infants who are ill or premature or have certain disorders (jaundice, high blood levels of bilirubin, G6PD deficiency). Therefore, breast-feeding is not recommended for infants with these conditions. Consult your doctor before breast-feeding."	Pregnancy related	Disease or symptom related							
Bactrim	15	72	"Some products that may interact with this drug include: ""blood thinners"" (such as warfarin), dofetilide, hydantoins (such as phenytoin), live vaccines, methenamine, methotrexate."	Other drugs related				blood thinners ; warfarin; dofetilide; hydantoins ; phenytoin; live vaccines; methenamine; methotrexate				
Bactrim	15	73	"Although most antibiotics are unlikely to affect hormonal birth control such as pills, patch, or ring, a few antibiotics (such as rifampin, rifabutin) can decrease their effectiveness. This could result in pregnancy."	Other drugs related	Pregnancy related			rifampin; rifabutin				
Bactrim	15	75	"If you use hormonal birth control, ask your doctor or pharmacist for more details."	Other drugs related								
Bactrim	15	76	"This product may interfere with certain laboratory tests, possibly causing false test results. Make sure laboratory personnel and all your doctors know you use this product."	Activity or lifestyle related								
Ceftriaxone	22	18	Drink plenty of fluids while using this medication unless your doctor directs you otherwise.	Food or beverage related	Drug administration related				fluids;water			
Ceftriaxone	22	19	"If you are using this medication at home, learn all preparation and usage instructions from your health care professional."	Drug administration related								
Ceftriaxone	22	20	"Avoid mixing ceftriaxone with IV fluids that have calcium in them (such as Ringer's solution, Hartmann's solution, parenteral nutrition-TPN/PPN)."	Other drugs related	Drug administration related							
Ceftriaxone	22	32	Use this drug at evenly spaced intervals.	Drug administration related	Temporal							
Ceftriaxone	22	41	"This medication may rarely cause a severe intestinal condition (Clostridium difficile-associated diarrhea) due to a type of resistant bacteria. This condition may occur during treatment or weeks to months after treatment has stopped. Tell your doctor right away if you develop: diarrhea that doesn't stop, abdominal or stomach pain/cramping, blood/mucus in your stool."	Disease or symptom related								Clostridium difficile-associated diarrhea
Ceftriaxone	22	44	Do not use anti-diarrhea products or narcotic pain medications if you have any of these symptoms because these products may make them worse.	Other drugs related				anti-diarrhea products; narcotic pain medications				
Ceftriaxone	22	68	This medication passes into breast milk in small amounts and is unlikely to harm a nursing infant.	Pregnancy related								
Ceftriaxone	22	74	Some products that may interact with this drug include: calcium-containing IV fluids.	Other drugs related				calcium-containing IV fluids				
Ceftriaxone	22	75	"Although most antibiotics are unlikely to affect hormonal birth control such as pills, patch, or ring, a few antibiotics (such as rifampin, rifabutin) can decrease their effectiveness. This could result in pregnancy. If you use hormonal birth control, ask your doctor or pharmacist for more details."	Other drugs related	Pregnancy related			hormonal birth control				
Celebrex	23	8	"WARNING:  Nonsteroidal anti-inflammatory drugs (including celecoxib) may rarely increase the risk of a heart attack or stroke. The risk may be greater if you have heart disease or increased risk for heart disease (for example, due to smoking, family history of heart disease, or conditions such as high blood pressure or diabetes), or with longer use."	Disease or symptom related								high blood pressure; diabetes
Celebrex	23	30	"Take this medication by mouth as directed by your doctor, usually once or twice daily."	Drug administration related	Temporal							
Celebrex	23	31	"To decrease the chance of stomach upset, this drug is best taken with food."	Food or beverage related	Drug administration related							
Celebrex	23	34	Take this medication with a full glass of water (8 ounces or 240 milliliters) unless your doctor directs you otherwise.	Food or beverage related	Drug administration related				water			
Celebrex	23	35	Do not lie down for 10 minutes after taking this medication.	Activity or lifestyle related	Temporal					lying down		
Celebrex	23	64	"Before using this medication, tell your doctor or pharmacist your medical history, especially of: asthma (including a history of worsening breathing after taking aspirin or other NSAIDs), liver disease, stomach/intestine/esophagus problems (such as bleeding, ulcers, recurring heartburn), heart disease (such as angina, heart attack), high blood pressure, stroke, blood disorders (such as anemia, bleeding/clotting problems), growths in the nose (nasal polyps)."	Disease or symptom related								asthma; liver disease; stomach/intestine/esophagus problems ; bleeding; ulcers; recurring heartburn; heart disease ; angina; heart attack; high blood pressure; stroke; blood disorders ; anemia; bleeding/clotting problems;nasal polyps.
Celebrex	23	65	"ccan sometimes occur with the use of NSAID medications, including celecoxib."	Disease or symptom related								
Celebrex	23	67	Drink plenty of fluids as directed by your doctor to prevent dehydration and tell your doctor right away if you have a change in the amount of urine.	Food or beverage related					water;fluids			
Celebrex	23	69	"Daily use of alcohol and tobacco, especially when combined with this medicine, may increase your risk for stomach bleeding. Limit alcohol and smoking."	Food or beverage related	Activity or lifestyle related				alcohol	smoking		
Celebrex	23	74	Caution is advised when using this drug for children with a certain type of arthritis (systemic onset juvenile rheumatoid arthritis) because they may be at increased risk for a very serious bleeding/clotting problem (disseminated intravascular coagulation).	Disease or symptom related								systemic onset juvenile rheumatoid arthritis
Celebrex	23	76	"Before using this medication, women of childbearing age should talk with their doctor(s) about the benefits and risks (such as miscarriage, trouble getting pregnant)."	Pregnancy related								
Celebrex	23	77	Tell your doctor if you are pregnant or if you plan to become pregnant.	Pregnancy related								
Celebrex	23	78	"During pregnancy, this medication should be used only when clearly needed."	Pregnancy related								
Celebrex	23	79	It is not recommended for use during the first and last trimesters of pregnancy due to possible harm to the unborn baby and interference with normal labor/delivery.	Pregnancy related								
Celebrex	23	80	"This medication passes into breast milk. While there have been no reports of harm to nursing infants, consult your doctor before breast-feeding."	Pregnancy related								
Celebrex	23	86	"Some products that may interact with this drug include: aliskiren, ACE inhibitors (such as captopril, lisinopril), angiotensin II receptor blockers (such as valsartan, losartan), cidofovir, lithium, ""water pills"" (diuretics such as furosemide)."	Other drugs related				aliskiren; ACE inhibitors ; captopril; lisinopril; angiotensin II receptor blockers ; valsartan; losartan; cidofovir; lithium; water pills ;diuretics  furosemide;				
Celexa	24	24	"Take this medication with or without food as directed by your doctor, usually once daily in the morning or evening."	Food or beverage related	Drug administration related	Temporal						
Celexa	24	35	"To help you remember, take it at the same time each day."	Drug administration related	Temporal							
Celexa	24	72	Citalopram may cause a condition that affects the heart rhythm (QT prolongation).	Disease or symptom related								QT prolongation
Celexa	24	73	"QT prolongation can rarely cause serious (rarely fatal) fast/irregular heartbeat and other symptoms (such as severe dizziness, fainting) that need medical attention right away. The risk of QT prolongation may be increased if you have certain medical conditions or are taking other drugs that may cause QT prolongation."	Disease or symptom related	Other drugs related							
Celexa	24	75	"Before using citalopram, tell your doctor or pharmacist of all the drugs you take and if you have any of the following conditions: certain heart problems (heart failure, slow heartbeat, recent heart attack, QT prolongation in the EKG), family history of certain heart problems (QT prolongation in the EKG, sudden cardiac death)."	Disease or symptom related								heart failure; slow heartbeat; recent heart attack; QT prolongation in the EKG
Celexa	24	80	"Do not drive, use machinery, or do any activity that requires alertness or clear vision until you are sure you can perform such activities safely."	Activity or lifestyle related						driving; using machinery; activities requiring alertness		
Celexa	24	81	Avoid alcoholic beverages.	Food or beverage related					alcohol			
Celexa	24	88	"During pregnancy, this medication should be used only when clearly needed. It may harm an unborn baby."	Pregnancy related								
Celexa	24	90	"Also, babies born to mothers who have used this drug during the last 3 months of pregnancy may rarely develop withdrawal symptoms such as feeding/breathing difficulties, seizures, muscle stiffness, or constant crying. If you notice any of these symptoms in your newborn, tell the doctor promptly."	Pregnancy related	Disease or symptom related							
Celexa	24	93	"If you are planning pregnancy, become pregnant, or think you may be pregnant, immediately discuss with your doctor the benefits and risks of using this medication during pregnancy."	Pregnancy related								
Celexa	24	94	This drug passes into breast milk and may have undesirable effects on a nursing infant. Consult your doctor before breast-feeding.	Pregnancy related								
Celexa	24	101	"Some products that may interact with this drug include: other drugs that can cause bleeding/bruising (including antiplatelet drugs such as clopidogrel, NSAIDs such as ibuprofen, ""blood thinners"" such as warfarin)."	Other drugs related				antiplatelet drugs; clopidogrel; NSAIDs; ibuprofen; blood thinners  warfarin				
Celexa	24	102	Aspirin can increase the risk of bleeding when used with this medication.	Other drugs related				Aspirin				
Celexa	24	105	Taking MAO inhibitors with this medication may cause a serious (possibly fatal) drug interaction.	Other drugs related				MAO inhibitors				
Celexa	24	106	"Avoid taking MAO inhibitors (isocarboxazid, linezolid, methylene blue, moclobemide, phenelzine, procarbazine, rasagiline, selegiline, tranylcypromine) during treatment with this medication. Most MAO inhibitors should also not be taken for two weeks before and after treatment with this medication."	Other drugs related	Drug administration related	Temporal		MAO inhibitors ;isocarboxazid; linezolid; methylene blue; moclobemide; phenelzine; procarbazine; rasagiline; selegiline; tranylcypromine;				
Celexa	24	113	"Tell your doctor or pharmacist if you are taking other products that cause drowsiness including alcohol, antihistamines (such as cetirizine, diphenhydramine), drugs for sleep or anxiety (such as alprazolam, diazepam, zolpidem), muscle relaxants, and narcotic pain relievers (such as codeine)."	Food or beverage related	Other drugs related			antihistamines ; cetirizine; diphenhydramine; drugs for sleep or anxiety ; alprazolam; diazepam; zolpidem; muscle relaxants; narcotic pain relievers ; codeine;	alcohol			
Celexa	24	116	"Many drugs besides citalopram may affect the heart rhythm (QT prolongation), including amiodarone, pimozide, procainamide, quinidine, sotalol, among others."	Other drugs related				amiodarone; pimozide; procainamide; quinidine; sotalol				
Celexa	24	118	Do not use medications containing escitalopram while using citalopram.	Other drugs related				escitalopram				
Citalopram	27	24	"Take this medication with or without food as directed by your doctor, usually once daily in the morning or evening."	Food or beverage related	Drug administration related	Temporal						
Citalopram	27	35	"To help you remember, take it at the same time each day."	Drug administration related								
Citalopram	27	72	"Citalopram may cause a condition that affects the heart rhythm (QT prolongation). QT prolongation can rarely cause serious (rarely fatal) fast/irregular heartbeat and other symptoms (such as severe dizziness, fainting) that need medical attention right away. The risk of QT prolongation may be increased if you have certain medical conditions or are taking other drugs that may cause QT prolongation. Before using citalopram, tell your doctor or pharmacist of all the drugs you take and if you have any of the following conditions: certain heart problems (heart failure, slow heartbeat, recent heart attack, QT prolongation in the EKG), family history of certain heart problems (QT prolongation in the EKG, sudden cardiac death)."	Disease or symptom related	Other drugs related							heart failure; slow heartbeat; recent heart attack; QT prolongation in the EKG
Citalopram	27	80	"Do not drive, use machinery, or do any activity that requires alertness or clear vision until you are sure you can perform such activities safely."	Activity or lifestyle related								
Citalopram	27	81	Avoid alcoholic beverages.	Food or beverage related					alcohol			
Citalopram	27	88	"During pregnancy, this medication should be used only when clearly needed. It may harm an unborn baby."	Pregnancy related								
Citalopram	27	90	"Also, babies born to mothers who have used this drug during the last 3 months of pregnancy may rarely develop withdrawal symptoms such as feeding/breathing difficulties, seizures, muscle stiffness, or constant crying."	Pregnancy related	Disease or symptom related							
Citalopram	27	93	"If you are planning pregnancy, become pregnant, or think you may be pregnant, immediately discuss with your doctor the benefits and risks of using this medication during pregnancy."	Pregnancy related								
Citalopram	27	94	This drug passes into breast milk and may have undesirable effects on a nursing infant.	Pregnancy related								
Citalopram	27	101	"Some products that may interact with this drug include: other drugs that can cause bleeding/bruising (including antiplatelet drugs such as clopidogrel, NSAIDs such as ibuprofen, ""blood thinners"" such as warfarin)."	Other drugs related				antiplatelet drugs; clopidogrel; NSAIDs; ibuprofen; blood thinners; warfarin				
Citalopram	27	102	Aspirin can increase the risk of bleeding when used with this medication.	Other drugs related				aspirin				
Citalopram	27	105	"Taking MAO inhibitors with this medication may cause a serious (possibly fatal) drug interaction. Avoid taking MAO inhibitors (isocarboxazid, linezolid, methylene blue, moclobemide, phenelzine, procarbazine, rasagiline, selegiline, tranylcypromine) during treatment with this medication."	Other drugs related				MAO inhibitors ;isocarboxazid; linezolid; methylene blue; moclobemide; phenelzine; procarbazine; rasagiline; selegiline; tranylcypromine;				
Citalopram	27	107	Most MAO inhibitors should also not be taken for two weeks before and after treatment with this medication.	Other drugs related	Temporal	Drug administration related		MAO inhibitors				
Citalopram	27	113	"Tell your doctor or pharmacist if you are taking other products that cause drowsiness including alcohol, antihistamines (such as cetirizine, diphenhydramine), drugs for sleep or anxiety (such as alprazolam, diazepam, zolpidem), muscle relaxants, and narcotic pain relievers (such as codeine)."	Food or beverage related	Other drugs related			antihistamines ; cetirizine; diphenhydramine; drugs for sleep or anxiety ; alprazolam; diazepam; zolpidem; muscle relaxants; narcotic pain relievers ; codeine;	alcohol			
Citalopram	27	116	"Many drugs besides citalopram may affect the heart rhythm (QT prolongation), including amiodarone, pimozide, procainamide, quinidine, sotalol, among others."	Other drugs related				amiodarone; pimozide; procainamide; quinidine; sotalol				
Citalopram	27	118	Do not use medications containing escitalopram while using citalopram.	Other drugs related				escitalopram				
Colace	28	18	"Take this medication by mouth, usually at bedtime with a full glass (8 ounces or 240 milliliters) of water or juice, or as directed by your doctor."	Food or beverage related	Drug administration related	Temporal			water; juice			
